time,emotion
2026-02-04 12:27:27.933609,neutral
2026-02-04 12:27:28.030799,neutral
2026-02-04 12:27:28.107752,neutral
2026-02-04 12:27:28.189297,neutral
2026-02-04 12:27:28.278377,neutral
2026-02-04 12:27:28.362451,neutral
2026-02-04 12:27:28.454305,neutral
2026-02-04 12:27:28.529853,neutral
2026-02-04 12:27:28.603379,neutral
2026-02-04 12:27:28.701445,neutral
2026-02-04 12:27:28.787634,neutral
2026-02-04 12:27:28.876741,neutral
2026-02-04 12:27:28.962689,neutral
2026-02-04 12:27:29.048612,neutral
2026-02-04 12:27:29.171108,neutral
2026-02-04 12:27:29.315201,neutral
2026-02-04 12:27:29.427798,neutral
2026-02-04 12:27:29.525332,neutral
2026-02-04 12:27:29.640877,neutral
2026-02-04 12:27:29.742845,neutral
2026-02-04 12:27:29.835602,neutral
2026-02-04 12:27:29.922640,neutral
2026-02-04 12:27:30.016788,neutral
2026-02-04 12:27:30.100755,neutral
2026-02-04 12:27:30.176153,neutral
2026-02-04 12:27:30.276389,neutral
2026-02-04 12:27:30.421141,neutral
2026-02-04 12:27:30.603510,neutral
2026-02-04 12:27:30.677718,neutral
2026-02-04 12:27:30.754961,neutral
2026-02-04 12:27:30.855130,neutral
2026-02-04 12:27:33.328505,neutral
2026-02-04 12:27:33.413690,neutral
2026-02-04 12:27:33.513561,happy
2026-02-04 12:27:33.598219,happy
2026-02-04 12:27:33.691369,neutral
2026-02-04 12:27:33.784048,neutral
2026-02-04 12:27:33.877410,neutral
2026-02-04 12:27:33.969111,neutral
2026-02-04 12:27:34.060949,neutral
2026-02-04 12:27:34.138200,neutral
2026-02-04 12:27:34.244328,neutral
2026-02-04 12:27:34.326274,neutral
2026-02-04 12:27:34.405808,neutral
2026-02-04 12:27:34.495428,neutral
2026-02-04 12:27:34.574674,neutral
2026-02-04 12:27:34.684790,neutral
2026-02-04 12:27:34.769098,neutral
2026-02-04 12:27:34.859934,neutral
2026-02-04 12:27:34.957472,neutral
2026-02-04 12:27:35.054025,neutral
2026-02-04 12:27:35.164726,neutral
2026-02-04 12:27:35.266849,neutral
2026-02-04 12:27:35.378247,neutral
2026-02-04 12:27:35.474983,neutral
2026-02-04 12:27:35.563087,neutral
2026-02-04 12:27:35.655622,neutral
2026-02-04 12:27:35.743586,neutral
2026-02-04 12:27:35.822076,neutral
2026-02-04 12:27:35.918765,neutral
2026-02-04 12:27:36.036253,neutral
2026-02-04 12:27:36.146100,neutral
2026-02-04 12:27:36.237569,neutral
2026-02-04 12:27:36.322297,neutral
2026-02-04 12:27:36.437267,happy
2026-02-04 12:27:36.519050,neutral
2026-02-04 12:27:36.643125,neutral
2026-02-04 12:27:36.768062,neutral
2026-02-04 12:27:36.875991,neutral
2026-02-04 12:27:36.982674,neutral
2026-02-04 12:27:37.068481,neutral
2026-02-04 12:27:37.149765,neutral
2026-02-04 12:27:37.239815,neutral
2026-02-04 12:27:37.386925,neutral
2026-02-04 12:27:37.489866,neutral
2026-02-04 12:27:37.607170,neutral
2026-02-04 12:27:37.709695,neutral
2026-02-04 12:27:37.802157,neutral
2026-02-04 12:27:37.903914,neutral
2026-02-04 12:27:38.012142,neutral
2026-02-04 12:27:38.136708,neutral
2026-02-04 12:27:38.237913,neutral
2026-02-04 12:27:38.330943,neutral
2026-02-04 12:27:38.426006,neutral
2026-02-04 12:27:38.505145,neutral
2026-02-04 12:27:38.588834,neutral
2026-02-04 12:27:38.672797,neutral
2026-02-04 12:27:38.756720,neutral
2026-02-04 12:27:38.851468,neutral
2026-02-04 12:27:38.935345,neutral
2026-02-04 12:27:39.014525,neutral
2026-02-04 12:27:39.095994,neutral
2026-02-04 12:27:39.170879,neutral
2026-02-04 12:27:39.260659,neutral
2026-02-04 12:27:39.341230,neutral
2026-02-04 12:27:39.422970,neutral
2026-02-04 12:27:39.505738,neutral
2026-02-04 12:27:39.583862,neutral
2026-02-04 12:27:41.193372,neutral
2026-02-04 12:27:41.463102,neutral
2026-02-04 12:27:41.643209,happy
2026-02-04 12:27:41.732455,happy
2026-02-04 12:27:41.827110,angry
2026-02-04 12:27:41.916969,angry
2026-02-04 12:27:42.024833,angry
2026-02-04 12:27:42.117215,angry
2026-02-04 12:27:42.212944,angry
2026-02-04 12:27:42.305104,angry
2026-02-04 12:27:42.382910,angry
2026-02-04 12:27:42.463970,angry
2026-02-04 12:27:42.645200,angry
2026-02-04 12:27:42.729248,angry
2026-02-04 12:27:42.830326,angry
2026-02-04 12:27:43.008403,angry
2026-02-04 12:27:43.096110,angry
2026-02-04 12:27:43.206606,angry
2026-02-04 12:27:43.299862,angry
2026-02-04 12:27:43.402904,neutral
2026-02-04 12:27:43.480180,angry
2026-02-04 12:27:43.585931,neutral
2026-02-04 12:27:43.735804,neutral
2026-02-04 12:27:43.830554,neutral
2026-02-04 12:27:43.922140,neutral
2026-02-04 12:27:44.017322,neutral
2026-02-04 12:27:44.111664,neutral
2026-02-04 12:27:44.204090,neutral
2026-02-04 12:27:44.289042,neutral
2026-02-04 12:27:44.363103,neutral
2026-02-04 12:27:44.455682,neutral
2026-02-04 12:27:44.548596,neutral
2026-02-04 12:27:44.641882,neutral
2026-02-04 12:27:44.819092,neutral
2026-02-04 12:27:44.894715,neutral
2026-02-04 12:27:44.978049,neutral
2026-02-04 12:27:45.071097,neutral
2026-02-04 12:27:45.156451,neutral
2026-02-04 12:27:45.233049,neutral
2026-02-04 12:27:45.342490,neutral
2026-02-04 12:27:45.417802,neutral
2026-02-04 12:27:45.521439,angry
2026-02-04 12:27:45.602660,neutral
2026-02-04 12:27:45.693314,neutral
2026-02-04 12:27:45.775645,neutral
2026-02-04 12:27:45.892212,neutral
2026-02-04 12:27:45.965220,neutral
2026-02-04 12:27:46.044424,neutral
2026-02-04 12:27:46.139691,neutral
2026-02-04 12:27:46.233045,neutral
2026-02-04 12:27:46.323754,neutral
2026-02-04 12:27:46.429613,sad
2026-02-04 12:27:46.524146,neutral
2026-02-04 12:27:46.611106,neutral
2026-02-04 12:27:46.692870,neutral
2026-02-04 12:27:46.825307,neutral
2026-02-04 12:27:46.954370,neutral
2026-02-04 12:27:47.075861,neutral
2026-02-04 12:27:47.169165,neutral
2026-02-04 12:27:47.249488,neutral
2026-02-04 12:27:47.333627,neutral
2026-02-04 12:27:47.415573,neutral
2026-02-04 12:27:47.531568,neutral
2026-02-04 12:27:47.603914,neutral
2026-02-04 12:27:47.703155,neutral
2026-02-04 12:27:47.794425,neutral
2026-02-04 12:27:47.901885,neutral
2026-02-04 12:27:47.985821,neutral
2026-02-04 12:27:48.079629,neutral
2026-02-04 12:27:48.157120,angry
2026-02-04 12:27:48.239999,angry
2026-02-04 12:27:48.667407,angry
2026-02-04 12:27:48.847859,angry
2026-02-04 12:27:48.961011,angry
2026-02-04 12:27:49.054760,angry
2026-02-04 12:27:49.143790,angry
2026-02-04 12:27:49.251047,neutral
2026-02-04 12:27:49.342798,angry
2026-02-04 12:27:49.447063,angry
2026-02-04 12:27:49.572637,angry
2026-02-04 12:27:49.666361,neutral
2026-02-04 12:27:49.775967,neutral
2026-02-04 12:27:49.949356,neutral
2026-02-04 12:27:50.033569,neutral
2026-02-04 12:27:50.171713,neutral
2026-02-04 12:27:50.252010,neutral
2026-02-04 12:27:50.377870,neutral
2026-02-04 12:27:50.594281,neutral
2026-02-04 12:27:50.671270,neutral
2026-02-04 12:27:50.797522,neutral
2026-02-04 12:27:50.975259,neutral
2026-02-04 12:27:51.104742,neutral
2026-02-04 12:27:51.259380,neutral
2026-02-04 12:27:51.389339,neutral
2026-02-04 12:27:51.549266,neutral
2026-02-04 12:27:51.685621,neutral
2026-02-04 12:27:51.807018,neutral
2026-02-04 12:27:51.944891,neutral
2026-02-04 12:27:52.082467,neutral
2026-02-04 12:27:52.264944,neutral
2026-02-04 12:27:53.325142,neutral
